user_id,item_id,event_type,timestamp
user_12,item_227,click,2023-12-01 00:00:00
user_2,item_306,click,2023-12-01 00:01:00
user_25,item_482,click,2023-12-01 00:02:00
user_37,item_330,add_to_cart,2023-12-01 00:03:00
user_37,item_36,click,2023-12-01 00:04:00
user_78,item_431,click,2023-12-01 00:05:00
user_29,item_491,view,2023-12-01 00:06:00
user_8,item_247,add_to_cart,2023-12-01 00:07:00
user_16,item_356,click,2023-12-01 00:08:00
user_54,item_184,click,2023-12-01 00:09:00
user_20,item_495,add_to_cart,2023-12-01 00:10:00
user_86,item_339,add_to_cart,2023-12-01 00:11:00
user_59,item_272,add_to_cart,2023-12-01 00:12:00
user_72,item_236,click,2023-12-01 00:13:00
user_65,item_95,view,2023-12-01 00:14:00
user_78,item_380,click,2023-12-01 00:15:00
user_23,item_30,view,2023-12-01 00:16:00
user_60,item_461,add_to_cart,2023-12-01 00:17:00
user_2,item_324,click,2023-12-01 00:18:00
user_16,item_318,view,2023-12-01 00:19:00
user_42,item_267,add_to_cart,2023-12-01 00:20:00
user_60,item_344,add_to_cart,2023-12-01 00:21:00
user_20,item_95,view,2023-12-01 00:22:00
user_69,item_205,view,2023-12-01 00:23:00
user_35,item_470,add_to_cart,2023-12-01 00:24:00
user_60,item_195,click,2023-12-01 00:25:00
user_80,item_461,add_to_cart,2023-12-01 00:26:00
user_27,item_14,view,2023-12-01 00:27:00
user_54,item_453,add_to_cart,2023-12-01 00:28:00
user_19,item_410,view,2023-12-01 00:29:00
user_24,item_7,add_to_cart,2023-12-01 00:30:00
user_41,item_182,click,2023-12-01 00:31:00
user_33,item_332,click,2023-12-01 00:32:00
user_26,item_423,add_to_cart,2023-12-01 00:33:00
user_82,item_363,add_to_cart,2023-12-01 00:34:00
user_7,item_133,click,2023-12-01 00:35:00
user_74,item_481,view,2023-12-01 00:36:00
user_72,item_7,click,2023-12-01 00:37:00
user_13,item_441,add_to_cart,2023-12-01 00:38:00
user_49,item_99,view,2023-12-01 00:39:00
user_13,item_8,view,2023-12-01 00:40:00
user_99,item_202,view,2023-12-01 00:41:00
user_68,item_386,view,2023-12-01 00:42:00
user_72,item_17,add_to_cart,2023-12-01 00:43:00
user_53,item_174,add_to_cart,2023-12-01 00:44:00
user_11,item_63,view,2023-12-01 00:45:00
user_21,item_120,add_to_cart,2023-12-01 00:46:00
user_4,item_290,view,2023-12-01 00:47:00
user_25,item_419,view,2023-12-01 00:48:00
user_13,item_31,add_to_cart,2023-12-01 00:49:00
user_22,item_246,view,2023-12-01 00:50:00
user_47,item_444,view,2023-12-01 00:51:00
user_67,item_96,add_to_cart,2023-12-01 00:52:00
user_85,item_17,add_to_cart,2023-12-01 00:53:00
user_64,item_200,add_to_cart,2023-12-01 00:54:00
user_97,item_184,click,2023-12-01 00:55:00
user_53,item_374,view,2023-12-01 00:56:00
user_82,item_154,click,2023-12-01 00:57:00
user_96,item_448,view,2023-12-01 00:58:00
user_19,item_483,click,2023-12-01 00:59:00
user_31,item_47,add_to_cart,2023-12-01 01:00:00
user_47,item_153,add_to_cart,2023-12-01 01:01:00
user_82,item_300,view,2023-12-01 01:02:00
user_43,item_115,view,2023-12-01 01:03:00
user_1,item_33,view,2023-12-01 01:04:00
user_85,item_380,view,2023-12-01 01:05:00
user_79,item_165,view,2023-12-01 01:06:00
user_76,item_170,view,2023-12-01 01:07:00
user_87,item_93,click,2023-12-01 01:08:00
user_15,item_191,add_to_cart,2023-12-01 01:09:00
